reporting_period,entity,lhd,peer_group,attendances,pct_on_time,quarter_start,district_type
Apr-Jun 2010,Armidale,Hunter New England,District group 1,3661.0,83.3,2010-04-01,Regional
Apr-Jun 2010,Auburn,Western Sydney,Major,5893.0,64.6,2010-04-01,Metropolitan
Apr-Jun 2010,Bankstown-Lidcombe,South Western Sydney,Principal referral,10333.0,83.5,2010-04-01,Metropolitan
Apr-Jun 2010,Bathurst,Western NSW,District group 1,5865.0,74.5,2010-04-01,Regional
Apr-Jun 2010,Belmont,Hunter New England,District group 1,5569.0,73.3,2010-04-01,Regional
Apr-Jun 2010,Blacktown,Western Sydney,Major,8281.0,82.0,2010-04-01,Metropolitan
Apr-Jun 2010,Blue Mountains,Nepean Blue Mountains,District group 2,4148.0,71.6,2010-04-01,Metropolitan
Apr-Jun 2010,Bowral,South Western Sydney,District group 1,4228.0,72.8,2010-04-01,Metropolitan
Apr-Jun 2010,Calvary Mater,Hunter New England,Ungrouped acute - tertiary referral,7257.0,56.4,2010-04-01,Regional
Apr-Jun 2010,Campbelltown,South Western Sydney,Major,12534.0,70.4,2010-04-01,Metropolitan
Apr-Jun 2010,Canterbury,Sydney,Major,8063.0,63.6,2010-04-01,Metropolitan
Apr-Jun 2010,Cessnock,Hunter New England,District group 2,4163.0,79.5,2010-04-01,Regional
Apr-Jun 2010,Children's at Westmead,Sydney Children's Hospitals Network,Paediatric specialist,12442.0,73.9,2010-04-01,Specialty network
Apr-Jun 2010,Concord,Sydney,Principal referral,7856.0,79.0,2010-04-01,Metropolitan
Apr-Jun 2010,Fairfield,South Western Sydney,Major,7730.0,68.5,2010-04-01,Metropolitan
Apr-Jun 2010,Gosford,Central Coast,Principal referral,13394.0,67.9,2010-04-01,Metropolitan
Apr-Jun 2010,Grafton,Northern NSW,District group 1,5412.0,68.4,2010-04-01,Regional
Apr-Jun 2010,Griffith,Murrumbidgee,District group 1,4945.0,55.8,2010-04-01,Regional
Apr-Jun 2010,Gunnedah,Hunter New England,District group 2,2385.0,99.6,2010-04-01,Regional
Apr-Jun 2010,Hawkesbury,Nepean Blue Mountains,District group 1,4788.0,60.8,2010-04-01,Metropolitan
Apr-Jun 2010,Hornsby,Northern Sydney,Major,7669.0,77.9,2010-04-01,Metropolitan
Apr-Jun 2010,Inverell,Hunter New England,District group 2,2328.0,80.4,2010-04-01,Regional
Apr-Jun 2010,John Hunter,Hunter New England,Principal referral,15981.0,74.3,2010-04-01,Regional
Apr-Jun 2010,Kempsey,Mid North Coast,District group 2,4862.0,71.1,2010-04-01,Regional
Apr-Jun 2010,Kurri Kurri,Hunter New England,District group 2,1757.0,82.7,2010-04-01,Regional
Apr-Jun 2010,Lismore,Northern NSW,Major,7337.0,59.4,2010-04-01,Regional
Apr-Jun 2010,Lithgow,Nepean Blue Mountains,District group 2,3122.0,85.5,2010-04-01,Metropolitan
Apr-Jun 2010,Liverpool,South Western Sydney,Principal referral,15215.0,74.9,2010-04-01,Metropolitan
Apr-Jun 2010,Maitland,Hunter New England,Major,9885.0,63.8,2010-04-01,Regional
Apr-Jun 2010,Manly,Northern Sydney,Major,5227.0,94.3,2010-04-01,Metropolitan
Apr-Jun 2010,Manning,Hunter New England,Major,5421.0,53.8,2010-04-01,Regional
Apr-Jun 2010,Milton,Illawarra Shoalhaven,District group 2,3313.0,93.0,2010-04-01,Metropolitan
Apr-Jun 2010,Mona Vale,Northern Sydney,Major,6451.0,90.0,2010-04-01,Metropolitan
Apr-Jun 2010,Moree,Hunter New England,District group 2,2385.0,96.3,2010-04-01,Regional
Apr-Jun 2010,Mount Druitt,Western Sydney,District group 1,7662.0,74.5,2010-04-01,Metropolitan
Apr-Jun 2010,Murwillumbah,Northern NSW,District group 1,3725.0,75.7,2010-04-01,Regional
Apr-Jun 2010,Muswellbrook,Hunter New England,District group 2,1810.0,78.5,2010-04-01,Regional
Apr-Jun 2010,Narrabri,Hunter New England,District group 2,1461.0,96.9,2010-04-01,Regional
Apr-Jun 2010,Nepean,Nepean Blue Mountains,Principal referral,12566.0,59.7,2010-04-01,Metropolitan
Apr-Jun 2010,Orange,Western NSW,Major,6596.0,72.4,2010-04-01,Regional
Apr-Jun 2010,Port Macquarie,Mid North Coast,Major,7562.0,59.6,2010-04-01,Regional
Apr-Jun 2010,Royal North Shore,Northern Sydney,Principal referral,13741.0,82.5,2010-04-01,Metropolitan
Apr-Jun 2010,Royal Prince Alfred,Sydney,Principal referral,15255.0,69.6,2010-04-01,Metropolitan
Apr-Jun 2010,Ryde,Northern Sydney,District group 1,6005.0,84.9,2010-04-01,Metropolitan
Apr-Jun 2010,Shellharbour,Illawarra Shoalhaven,District group 1,6286.0,71.7,2010-04-01,Metropolitan
Apr-Jun 2010,Shoalhaven,Illawarra Shoalhaven,Major,7825.0,65.6,2010-04-01,Metropolitan
Apr-Jun 2010,Singleton,Hunter New England,District group 2,2972.0,76.0,2010-04-01,Regional
Apr-Jun 2010,St George,South Eastern Sydney,Principal referral,14575.0,57.9,2010-04-01,Metropolitan
Apr-Jun 2010,St Vincent's,St Vincent's Health Network,Principal referral,9873.0,78.6,2010-04-01,Specialty network
Apr-Jun 2010,Sutherland,South Eastern Sydney,Major,10412.0,65.3,2010-04-01,Metropolitan
Apr-Jun 2010,Sydney and Sydney Eye,South Eastern Sydney,Ungrouped acute - tertiary referral,8809.0,91.9,2010-04-01,Metropolitan
Apr-Jun 2010,Tamworth,Hunter New England,Major,10533.0,64.1,2010-04-01,Regional
Apr-Jun 2010,Tweed Valley,Northern NSW,Major,10145.0,67.7,2010-04-01,Regional
Apr-Jun 2010,Wagga Wagga,Murrumbidgee,Major,8251.0,80.1,2010-04-01,Regional
Apr-Jun 2010,Westmead,Western Sydney,Principal referral,13268.0,57.1,2010-04-01,Metropolitan
Apr-Jun 2010,Wollongong,Illawarra Shoalhaven,Principal referral,12697.0,64.8,2010-04-01,Metropolitan
Apr-Jun 2010,Wyong,Central Coast,Major,13378.0,70.2,2010-04-01,Metropolitan
Apr-Jun 2011,Armidale,Hunter New England,District group 1,4004.0,79.0,2011-04-01,Regional
Apr-Jun 2011,Auburn,Western Sydney,Major,6003.0,74.2,2011-04-01,Metropolitan
Apr-Jun 2011,Bankstown-Lidcombe,South Western Sydney,Principal referral,10890.0,78.4,2011-04-01,Metropolitan
Apr-Jun 2011,Bathurst,Western NSW,District group 1,5934.0,75.3,2011-04-01,Regional
Apr-Jun 2011,Belmont,Hunter New England,District group 1,5738.0,76.2,2011-04-01,Regional
Apr-Jun 2011,Blacktown,Western Sydney,Major,8666.0,70.6,2011-04-01,Metropolitan
Apr-Jun 2011,Blue Mountains,Nepean Blue Mountains,District group 2,4399.0,68.4,2011-04-01,Metropolitan
Apr-Jun 2011,Bowral,South Western Sydney,District group 1,4446.0,66.7,2011-04-01,Metropolitan
Apr-Jun 2011,Broken Hill,Far West,District group 1,6026.0,83.3,2011-04-01,Regional
Apr-Jun 2011,Calvary Mater,Hunter New England,Ungrouped acute - tertiary referral,7420.0,77.2,2011-04-01,Regional
Apr-Jun 2011,Campbelltown,South Western Sydney,Major,13766.0,73.3,2011-04-01,Metropolitan
Apr-Jun 2011,Canterbury,Sydney,Major,8407.0,60.6,2011-04-01,Metropolitan
Apr-Jun 2011,Cessnock,Hunter New England,District group 2,4359.0,81.0,2011-04-01,Regional
Apr-Jun 2011,Children's at Westmead,Sydney Children's Hospitals Network,Paediatric specialist,12339.0,75.1,2011-04-01,Specialty network
Apr-Jun 2011,Coffs Harbour,Mid North Coast,Major,7540.0,67.2,2011-04-01,Regional
Apr-Jun 2011,Concord,Sydney,Principal referral,8568.0,69.4,2011-04-01,Metropolitan
Apr-Jun 2011,Dubbo,Western NSW,Major,6730.0,64.9,2011-04-01,Regional
Apr-Jun 2011,Fairfield,South Western Sydney,Major,7740.0,66.1,2011-04-01,Metropolitan
Apr-Jun 2011,Goulburn,Southern NSW,District group 1,4355.0,57.7,2011-04-01,Regional
Apr-Jun 2011,Grafton,Northern NSW,District group 1,5759.0,67.1,2011-04-01,Regional
Apr-Jun 2011,Griffith,Murrumbidgee,District group 1,5059.0,74.9,2011-04-01,Regional
Apr-Jun 2011,Gunnedah,Hunter New England,District group 2,2625.0,72.4,2011-04-01,Regional
Apr-Jun 2011,Hawkesbury,Nepean Blue Mountains,District group 1,5075.0,64.8,2011-04-01,Metropolitan
Apr-Jun 2011,Hornsby,Northern Sydney,Major,8084.0,73.9,2011-04-01,Metropolitan
Apr-Jun 2011,Inverell,Hunter New England,District group 2,2360.0,63.3,2011-04-01,Regional
Apr-Jun 2011,John Hunter,Hunter New England,Principal referral,16477.0,74.7,2011-04-01,Regional
