quarter_start,reporting_period,reporting_level,entity,lhd,district_type,peer_group,triage_category,pct_on_time
2010-01-01,Jan-Mar 2010,Hospital,Armidale,Hunter New England,Regional,District group 1,T2: Emergency,94.1
2010-01-01,Jan-Mar 2010,Hospital,Armidale,Hunter New England,Regional,District group 1,T3: Urgent,72.7
2010-01-01,Jan-Mar 2010,Hospital,Armidale,Hunter New England,Regional,District group 1,T4: Semi-urgent,81.3
2010-01-01,Jan-Mar 2010,Hospital,Armidale,Hunter New England,Regional,District group 1,T5: Non-urgent,94.0
2010-01-01,Jan-Mar 2010,Hospital,Auburn,Western Sydney,Metropolitan,Major,T2: Emergency,96.6
2010-01-01,Jan-Mar 2010,Hospital,Auburn,Western Sydney,Metropolitan,Major,T3: Urgent,65.1
2010-01-01,Jan-Mar 2010,Hospital,Auburn,Western Sydney,Metropolitan,Major,T4: Semi-urgent,58.4
2010-01-01,Jan-Mar 2010,Hospital,Auburn,Western Sydney,Metropolitan,Major,T5: Non-urgent,78.6
2010-01-01,Jan-Mar 2010,Hospital,Bankstown-Lidcombe,South Western Sydney,Metropolitan,Principal referral,T2: Emergency,80.2
2010-01-01,Jan-Mar 2010,Hospital,Bankstown-Lidcombe,South Western Sydney,Metropolitan,Principal referral,T3: Urgent,76.8
2010-01-01,Jan-Mar 2010,Hospital,Bankstown-Lidcombe,South Western Sydney,Metropolitan,Principal referral,T4: Semi-urgent,88.1
2010-01-01,Jan-Mar 2010,Hospital,Bankstown-Lidcombe,South Western Sydney,Metropolitan,Principal referral,T5: Non-urgent,96.3
2010-01-01,Jan-Mar 2010,Hospital,Bathurst,Western NSW,Regional,District group 1,T2: Emergency,63.8
2010-01-01,Jan-Mar 2010,Hospital,Bathurst,Western NSW,Regional,District group 1,T3: Urgent,69.9
2010-01-01,Jan-Mar 2010,Hospital,Bathurst,Western NSW,Regional,District group 1,T4: Semi-urgent,77.0
2010-01-01,Jan-Mar 2010,Hospital,Bathurst,Western NSW,Regional,District group 1,T5: Non-urgent,94.0
2010-01-01,Jan-Mar 2010,Hospital,Belmont,Hunter New England,Regional,District group 1,T2: Emergency,76.5
2010-01-01,Jan-Mar 2010,Hospital,Belmont,Hunter New England,Regional,District group 1,T3: Urgent,65.1
2010-01-01,Jan-Mar 2010,Hospital,Belmont,Hunter New England,Regional,District group 1,T4: Semi-urgent,66.9
2010-01-01,Jan-Mar 2010,Hospital,Belmont,Hunter New England,Regional,District group 1,T5: Non-urgent,84.6
2010-01-01,Jan-Mar 2010,Hospital,Blacktown,Western Sydney,Metropolitan,Major,T2: Emergency,93.1
2010-01-01,Jan-Mar 2010,Hospital,Blacktown,Western Sydney,Metropolitan,Major,T3: Urgent,85.5
2010-01-01,Jan-Mar 2010,Hospital,Blacktown,Western Sydney,Metropolitan,Major,T4: Semi-urgent,79.6
2010-01-01,Jan-Mar 2010,Hospital,Blacktown,Western Sydney,Metropolitan,Major,T5: Non-urgent,89.5
2010-01-01,Jan-Mar 2010,Hospital,Blue Mountains,Nepean Blue Mountains,Metropolitan,District group 2,T2: Emergency,61.5
